epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5073,3.87816,4.95364,2.52395,0,0,0,0,3.20465,4.93052,1.98339,1.818e-05,1.818e-05,1.818e-05
2,38.0533,3.80253,4.87174,2.47079,0.00041,0.03571,0.00027,3e-05,2.65254,4.70401,1.79786,4.48072e-05,4.48072e-05,4.48072e-05
3,56.2844,3.08387,4.74265,2.06474,0.00599,0.16667,0.04557,0.01154,2.19237,4.56559,1.67657,7.06631e-05,7.06631e-05,7.06631e-05
4,73.104,2.77832,4.67423,1.96744,0.00458,0.13095,0.06227,0.03548,2.12779,4.4706,1.63264,9.57476e-05,9.57476e-05,9.57476e-05
5,93.4345,2.20388,4.47926,1.61703,0.00395,0.30952,0.03099,0.00995,2.07005,4.3687,1.54697,0.000120061,0.000120061,0.000120061
6,112.512,2.1657,4.29375,1.59033,0.00374,0.30952,0.03519,0.01235,2.15742,4.34393,1.48175,0.000143603,0.000143603,0.000143603
7,131.204,1.94971,4.16756,1.4963,0.00374,0.29762,0.02649,0.01064,2.13876,4.34657,1.40404,0.000166373,0.000166373,0.000166373
8,149.721,1.81963,3.99211,1.41977,0.00377,0.29762,0.029,0.01113,2.07811,4.3103,1.37804,0.000188372,0.000188372,0.000188372
9,168.442,1.85975,3.92554,1.41642,0.00652,0.40476,0.04857,0.02149,1.88323,4.26201,1.36163,0.0002096,0.0002096,0.0002096
10,187.088,1.76974,3.79494,1.37102,0.00845,0.52381,0.14031,0.04816,1.77356,4.24369,1.33586,0.000230056,0.000230056,0.000230056
11,205.348,1.61401,3.6393,1.28629,0.00764,0.4881,0.13547,0.03998,1.66403,4.18094,1.31654,0.000249741,0.000249741,0.000249741
12,224.835,1.7003,3.5654,1.32365,0.0072,0.45238,0.14565,0.06328,1.66592,4.1313,1.33144,0.000268655,0.000268655,0.000268655
13,244.569,1.68169,3.53895,1.26783,0.00842,0.44048,0.09975,0.02854,1.83308,4.22343,1.4151,0.000286797,0.000286797,0.000286797
14,263.367,1.66516,3.34366,1.24315,0.00817,0.35714,0.06159,0.0267,1.90806,4.29835,1.4257,0.000304168,0.000304168,0.000304168
15,282.925,1.47906,3.23368,1.18001,0.00581,0.20238,0.02742,0.0144,1.86584,4.36279,1.41791,0.000320768,0.000320768,0.000320768
16,299.077,1.56785,3.13051,1.23519,0.00546,0.15476,0.01149,0.00329,1.92177,4.55384,1.51276,0.000336596,0.000336596,0.000336596
17,319.469,1.46326,2.97031,1.16475,0.00546,0.15476,0.01149,0.00329,2.70797,5.37235,2.15377,0.000351653,0.000351653,0.000351653
18,338.592,1.55466,2.99312,1.21296,0.00546,0.15476,0.01149,0.00329,2.68945,5.19672,2.06202,0.000365939,0.000365939,0.000365939
19,357.446,1.52895,2.95342,1.18185,0.00718,0.20238,0.02473,0.0081,2.12712,4.53386,1.59403,0.000379453,0.000379453,0.000379453
20,376.931,1.559,2.83315,1.20275,0.22211,0.11905,0.10115,0.03736,1.81758,3.83552,1.39808,0.000392196,0.000392196,0.000392196
21,395.849,1.51276,2.87304,1.20551,0.66502,0.11905,0.26244,0.1486,1.64655,3.39559,1.28744,0.000404167,0.000404167,0.000404167
22,415.027,1.50997,2.75742,1.1978,0.67394,0.18687,0.30126,0.16784,1.56439,3.27917,1.29222,0.000415368,0.000415368,0.000415368
