epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.43682,4.62077,5.0627,3.35866,0,0,0,0,4.37503,5.22752,3.06354,9.09e-06,9.09e-06,9.09e-06
2,9.93544,5.0961,5.15616,3.70146,0.00042,0.04762,0.00071,7e-05,4.10869,5.08011,2.7947,2.7e-05,2.7e-05,2.7e-05
3,14.2791,3.86471,5.63227,2.79007,0.00123,0.11905,0.00238,0.00082,3.60688,4.85146,2.4087,4.45501e-05,4.45501e-05,4.45501e-05
4,18.7696,4.41066,4.69837,3.09836,0.00179,0.16667,0.00489,0.00262,3.07248,4.55916,2.12127,6.17402e-05,6.17402e-05,6.17402e-05
5,23.287,3.66812,4.74712,2.39832,0.00294,0.21429,0.01762,0.0103,2.67968,4.533,1.9504,7.85703e-05,7.85703e-05,7.85703e-05
6,27.9325,3.41743,5.78973,2.22247,0.00456,0.24286,0.0163,0.00745,2.57868,4.44825,1.84259,9.50405e-05,9.50405e-05,9.50405e-05
7,34.6881,3.09686,4.88617,1.98639,0.00462,0.24286,0.01224,0.00501,2.74847,4.38971,1.8423,0.000111151,0.000111151,0.000111151
8,42.9446,3.21837,4.53292,2.22309,0.00305,0.19524,0.02266,0.00353,2.84134,4.37177,1.88266,0.000126901,0.000126901,0.000126901
9,50.9132,2.74634,4.36447,1.98894,0.00356,0.24286,0.01949,0.00293,2.89858,4.31647,1.85907,0.000142291,0.000142291,0.000142291
10,59.3782,2.97493,4.4826,1.87,0.00305,0.21905,0.00713,0.00148,2.87298,4.29526,1.83024,0.000157322,0.000157322,0.000157322
11,67.0598,2.53694,4.28986,1.8116,0.00183,0.19048,0.00425,0.00071,2.8146,4.30896,1.8159,0.000171992,0.000171992,0.000171992
12,74.9336,2.9297,4.21721,2.11859,0.0024,0.17143,0.00323,0.00077,2.72217,4.30346,1.80752,0.000186302,0.000186302,0.000186302
13,83.7138,2.9481,4.15227,1.79232,0.00234,0.17143,0.00373,0.00065,2.57259,4.30834,1.77742,0.000200253,0.000200253,0.000200253
14,91.7439,2.16551,4.13879,1.6313,0.00419,0.3381,0.01065,0.00202,2.46283,4.18003,1.70558,0.000213843,0.000213843,0.000213843
15,100.066,2.63268,4.16727,1.87607,0.00465,0.38571,0.01486,0.00593,2.22383,4.09478,1.63009,0.000227074,0.000227074,0.000227074
16,108.273,2.44002,3.92969,1.63622,0.00883,0.50476,0.0255,0.00975,2.19868,4.06132,1.55032,0.000239944,0.000239944,0.000239944
17,113.625,2.30791,3.84434,1.59145,0.00828,0.50476,0.05036,0.0198,2.23454,3.99341,1.51194,0.000252455,0.000252455,0.000252455
18,118.378,2.68564,3.81109,1.72295,0.00816,0.50476,0.05154,0.02473,2.37153,4.04543,1.57015,0.000264605,0.000264605,0.000264605
19,123.148,2.36186,3.80586,1.53111,0.00588,0.35,0.05033,0.01733,2.6584,4.08953,1.67946,0.000276396,0.000276396,0.000276396
20,127.862,2.51222,3.83584,1.6227,0.00246,0.19048,0.05709,0.02242,2.71289,4.07996,1.6807,0.000287827,0.000287827,0.000287827
21,132.478,1.94721,3.50691,1.44682,0.00185,0.14286,0.05084,0.02156,2.58123,4.00583,1.61465,0.000298897,0.000298897,0.000298897
22,137.103,2.54532,3.56829,1.48992,0.0044,0.25476,0.05335,0.02598,2.34184,3.89425,1.496,0.000309608,0.000309608,0.000309608
23,141.713,2.04438,3.36547,1.44165,0.00834,0.50476,0.07053,0.03555,2.16871,3.81388,1.44152,0.000319959,0.000319959,0.000319959
24,146.238,2.11107,3.44413,1.3771,0.00767,0.45714,0.06655,0.03645,2.20861,3.87432,1.53128,0.00032995,0.00032995,0.00032995
25,150.777,2.24029,3.22641,1.3587,0.2962,0.09524,0.07377,0.04881,2.23517,3.87863,1.61629,0.000339581,0.000339581,0.000339581
26,155.48,2.15356,3.44994,1.44239,0.95393,0.04762,0.11796,0.07671,2.3245,3.96474,1.67302,0.000348851,0.000348851,0.000348851
27,160.044,2.32298,3.32083,1.422,0.96718,0.04762,0.11757,0.06923,2.41501,3.9764,1.68431,0.000357762,0.000357762,0.000357762
28,164.692,2.25452,3.45196,1.64377,0.96718,0.04762,0.11757,0.06923,2.41501,3.9764,1.68431,0.000366313,0.000366313,0.000366313
29,169.39,2.34063,3.39765,1.41494,0.91987,0.04762,0.07219,0.03474,2.42412,4.03214,1.74937,0.000374504,0.000374504,0.000374504
30,174.141,2.18483,3.09581,1.37328,0.97302,0.04762,0.12858,0.06763,2.52113,3.94838,1.7063,0.000382335,0.000382335,0.000382335
31,178.682,1.90351,3.14718,1.36,0.97302,0.04762,0.12858,0.06763,2.52113,3.94838,1.7063,0.000389806,0.000389806,0.000389806
32,183.186,1.5943,2.87611,1.33003,1,0.07492,0.1621,0.06723,2.40732,3.81962,1.58455,0.000396918,0.000396918,0.000396918
33,187.643,1.88903,3.51088,1.40235,0.30569,0.12381,0.15861,0.04825,2.32697,3.8464,1.53202,0.000403669,0.000403669,0.000403669
34,192.132,2.03253,2.98377,1.36843,0.30569,0.12381,0.15861,0.04825,2.32697,3.8464,1.53202,0.00041006,0.00041006,0.00041006
35,196.573,1.7018,3.07553,1.32028,0.00929,0.43095,0.10201,0.03945,2.34822,3.89382,1.60565,0.000416091,0.000416091,0.000416091
36,201.085,2.07634,2.91765,1.36395,0.00858,0.39524,0.06126,0.02113,2.37317,3.9804,1.69629,0.000421762,0.000421762,0.000421762
37,205.402,1.7701,2.91881,1.39275,0.00858,0.39524,0.06126,0.02113,2.37317,3.9804,1.69629,0.000427074,0.000427074,0.000427074
38,209.594,1.68043,2.77663,1.3234,0.00721,0.34762,0.03247,0.01009,2.36548,3.9988,1.68153,0.000432025,0.000432025,0.000432025
39,213.718,2.38752,3.6288,1.4325,0.00765,0.37619,0.03439,0.01167,2.13163,3.8353,1.55201,0.000436616,0.000436616,0.000436616
40,217.783,2.03692,2.91355,1.39149,0.00765,0.37619,0.03439,0.01167,2.13163,3.8353,1.55201,0.000440848,0.000440848,0.000440848
41,222.025,2.67277,3.57063,1.71524,0.00982,0.5,0.05733,0.02229,2.07021,3.62604,1.53801,0.000444719,0.000444719,0.000444719
42,226.464,1.94933,2.70491,1.3041,0.94884,0.09524,0.12638,0.03889,2.07822,3.39231,1.52669,0.000448231,0.000448231,0.000448231
43,232.527,2.61325,3.06525,1.48342,0.94884,0.09524,0.12638,0.03889,2.07822,3.39231,1.52669,0.000451382,0.000451382,0.000451382
44,240.504,1.88306,2.70726,1.36818,0.7427,0.21905,0.26992,0.0849,1.99709,3.13146,1.49961,0.000454174,0.000454174,0.000454174
45,248.445,2.12845,2.83726,1.39607,0.7427,0.21905,0.26992,0.0849,1.99709,3.13146,1.49961,0.000456605,0.000456605,0.000456605
