epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.85481,3.98251,5.66728,2.49093,0,0,0,0,0,37.8053,0,9.09e-06,9.09e-06,9.09e-06
2,10.527,3.65488,5.45073,2.27571,0,0,0,0,0,37.8429,0,2.67301e-05,2.67301e-05,2.67301e-05
3,15.0913,3.30874,5.68472,1.95316,0,0,0,0,0,37.8791,0,4.36502e-05,4.36502e-05,4.36502e-05
4,19.6186,2.98744,5.37787,1.83451,0,0,0,0,0,37.9136,0,5.98504e-05,5.98504e-05,5.98504e-05
5,24.1914,2.86929,4.98352,1.82317,0,0,0,0,0,37.9379,0,7.53306e-05,7.53306e-05,7.53306e-05
6,28.713,2.41049,5.09848,1.60959,0,0,0,0,0,37.9549,0,9.0091e-05,9.0091e-05,9.0091e-05
7,33.3393,2.29681,4.66026,1.52945,0,0,0,0,0,37.9463,0,0.000104131,0.000104131,0.000104131
8,37.9155,1.98046,4.46713,1.41817,0,0,0,0,0,37.937,0,0.000117452,0.000117452,0.000117452
9,42.5699,2.02839,4.57822,1.30495,0,0,0,0,0,37.9496,0,0.000130052,0.000130052,0.000130052
10,47.1738,1.80214,4.37282,1.26781,0,0,0,0,0,37.977,0,0.000141933,0.000141933,0.000141933
11,51.6502,1.81484,4.17839,1.24283,0,0,0,0,0,38.0318,0,0.000153094,0.000153094,0.000153094
12,56.1998,1.91032,4.07004,1.29574,0,0,0,0,0,38.0775,0,0.000163535,0.000163535,0.000163535
13,60.9641,1.74688,3.81199,1.22749,0,0,0,0,0,38.1755,0,0.000173255,0.000173255,0.000173255
14,65.8227,1.81051,4.04608,1.23592,0,0,0,0,0,38.3172,0,0.000182256,0.000182256,0.000182256
15,70.339,1.82467,3.8337,1.31959,0,0,0,0,0,38.5098,0,0.000190537,0.000190537,0.000190537
16,74.8685,1.73664,3.96367,1.24594,0,0,0,0,0,38.6168,0,0.000198098,0.000198098,0.000198098
17,79.4197,1.47162,3.41683,1.14793,0,0,0,0,0,38.65,0,0.00020494,0.00020494,0.00020494
18,83.955,1.56547,3.49223,1.06887,0,0,0,0,0,38.5589,0,0.000211061,0.000211061,0.000211061
19,88.5642,1.48989,3.3328,1.16905,0,0,0,0,0,38.4683,0,0.000216462,0.000216462,0.000216462
20,93.042,1.68241,3.52972,1.17243,0,0,0,0,0,38.2614,0,0.000221143,0.000221143,0.000221143
21,97.5998,1.60399,3.34999,1.171,0,0,0,0,0,38.0194,0,0.000225105,0.000225105,0.000225105
22,102.142,1.42012,3.09025,1.09754,0,0,0,0,0,37.7144,0,0.000228346,0.000228346,0.000228346
23,106.754,1.49957,3.11792,1.15137,0,0,0,0,0,37.6101,0,0.000230868,0.000230868,0.000230868
24,111.29,1.35128,3.03349,1.11154,0,0,0,0,0,37.4237,0,0.000232669,0.000232669,0.000232669
25,115.886,1.51139,3.3834,1.18172,0,0,0,0,0,37.0437,0,0.000233751,0.000233751,0.000233751
26,120.47,1.22776,3.26756,1.09591,0,0,0,0,0,36.6756,0,0.000234113,0.000234113,0.000234113
27,125.124,1.54654,2.77176,1.08374,0,0,0,0,0,36.4798,0,0.000233755,0.000233755,0.000233755
28,130.012,1.38321,2.76711,1.12535,0,0,0,0,0,36.4798,0,0.000232677,0.000232677,0.000232677
29,134.726,1.52581,3.16593,1.11919,0,0,0,0,0,36.3419,0,0.000230879,0.000230879,0.000230879
30,139.284,1.48155,3.14125,1.06894,0,0,0,0,0,36.118,0,0.000228361,0.000228361,0.000228361
31,143.775,1.39768,2.74218,1.13824,0,0,0,0,0,36.118,0,0.000225123,0.000225123,0.000225123
32,148.3,1.36895,2.75191,1.07887,0,0,0,0,0,35.7779,0,0.000221165,0.000221165,0.000221165
33,152.851,1.2554,2.61443,1.11342,0,0,0,0,0,35.3496,0,0.000216487,0.000216487,0.000216487
34,157.352,1.27416,2.66269,1.04189,0,0,0,0,0,35.3496,0,0.00021109,0.00021109,0.00021109
35,161.918,1.36049,2.90327,1.09006,0,0,0,0,0,34.9624,0,0.000204972,0.000204972,0.000204972
36,166.572,1.36072,2.43966,1.06172,0,0,0,0,0,34.8163,0,0.000198135,0.000198135,0.000198135
37,171.172,1.28764,2.74414,1.06306,0,0,0,0,0,34.8163,0,0.000190577,0.000190577,0.000190577
38,175.751,1.26895,2.43323,1.02064,0,0,0,0,0,34.6961,0,0.0001823,0.0001823,0.0001823
39,180.252,1.31152,2.69121,1.09708,0,0,0,0,0,34.6414,0,0.000173303,0.000173303,0.000173303
40,184.745,1.16812,2.31552,1.04189,0,0,0,0,0,34.6414,0,0.000163585,0.000163585,0.000163585
41,189.343,1.352,3.05396,1.09802,0,0,0,0,0,34.7462,0,0.000153148,0.000153148,0.000153148
42,194.215,1.46124,3.01945,1.17103,0,0,0,0,0,35.2869,0,0.000141991,0.000141991,0.000141991
43,198.942,1.14019,2.44409,1.01689,0,0,0,0,0,35.2869,0,0.000130114,0.000130114,0.000130114
44,203.502,1.23841,2.82803,1.0165,0,0,0,0,0,36.0465,0,0.000117517,0.000117517,0.000117517
45,208.093,1.24955,2.59194,1.10348,0,0,0,0,0,36.0465,0,0.0001042,0.0001042,0.0001042
